loss,params,iteration,estimators,train_time
0.24742230739825244,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.9257211250565995, 'learning_rate': 0.018675872988718433, 'min_child_samples': 170, 'num_leaves': 126, 'reg_alpha': 0.5985119228590867, 'reg_lambda': 0.5845451820124326, 'subsample_for_bin': 300000, 'subsample': 0.825507448104468}",1,166,5.481136999999762
0.2699986616565787,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.8970523178797932, 'learning_rate': 0.035742378218536576, 'min_child_samples': 45, 'num_leaves': 138, 'reg_alpha': 0.5005020213127344, 'reg_lambda': 0.45121616279208887, 'subsample_for_bin': 260000, 'subsample': 0.6614743075688195}",2,23,4.446634099999756
0.25254199353849827,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.9746144284726697, 'learning_rate': 0.05565441586040854, 'min_child_samples': 125, 'num_leaves': 102, 'reg_alpha': 0.8878029074840853, 'reg_lambda': 0.9836336562472392, 'subsample_for_bin': 220000, 'subsample': 0.785129658330384}",3,51,3.0294206999997186
0.24592091049179388,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.8467350612751908, 'learning_rate': 0.07866054762015, 'min_child_samples': 415, 'num_leaves': 118, 'reg_alpha': 0.47827923423293384, 'reg_lambda': 0.0627262749115356, 'subsample_for_bin': 140000, 'subsample': 1.0}",4,9,0.9246971000002304
0.23588638493201353,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.620649129448606, 'learning_rate': 0.017934544496484815, 'min_child_samples': 260, 'num_leaves': 30, 'reg_alpha': 0.2092981310373776, 'reg_lambda': 0.8946886330215067, 'subsample_for_bin': 20000, 'subsample': 0.8731487506937664}",5,181,4.032387100000051
0.24526115231985313,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.9759288041313645, 'learning_rate': 0.08783831758750019, 'min_child_samples': 230, 'num_leaves': 44, 'reg_alpha': 0.16571225625681618, 'reg_lambda': 0.43702345115978314, 'subsample_for_bin': 120000, 'subsample': 1.0}",6,10,1.1181977000005645
0.2505863167869531,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.9160995824938298, 'learning_rate': 0.019312347539552403, 'min_child_samples': 175, 'num_leaves': 112, 'reg_alpha': 0.7926928706035059, 'reg_lambda': 0.37338116932867904, 'subsample_for_bin': 200000, 'subsample': 1.0}",7,47,1.7793067000002338
0.2494591839457997,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.6112261018953945, 'learning_rate': 0.09300560371484937, 'min_child_samples': 175, 'num_leaves': 66, 'reg_alpha': 0.3479679339377224, 'reg_lambda': 0.7792709409751215, 'subsample_for_bin': 100000, 'subsample': 1.0}",8,10,1.1765174000001934
0.24259090418750673,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.9988228677752106, 'learning_rate': 0.040118914534607024, 'min_child_samples': 475, 'num_leaves': 70, 'reg_alpha': 0.8695100073452218, 'reg_lambda': 0.44076667329472063, 'subsample_for_bin': 160000, 'subsample': 1.0}",9,24,1.2477280000002793
0.24325185618757028,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.7326787636533016, 'learning_rate': 0.017532163285674928, 'min_child_samples': 420, 'num_leaves': 34, 'reg_alpha': 0.78739503162987, 'reg_lambda': 0.5520827853417427, 'subsample_for_bin': 220000, 'subsample': 0.5140566400846498}",10,89,2.2055851000004623
0.24221272391180682,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.7878722696495764, 'learning_rate': 0.048936410244575575, 'min_child_samples': 410, 'num_leaves': 132, 'reg_alpha': 0.17616663325172033, 'reg_lambda': 0.7234573267040174, 'subsample_for_bin': 180000, 'subsample': 0.5211750033711255}",11,17,1.3773192999997264
0.2552460431122635,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.6136306646380102, 'learning_rate': 0.19551187838964745, 'min_child_samples': 435, 'num_leaves': 45, 'reg_alpha': 0.2878847550683644, 'reg_lambda': 0.01708657132205149, 'subsample_for_bin': 240000, 'subsample': 1.0}",12,5,0.8483051000002888
0.26638116480395657,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.9166504738468104, 'learning_rate': 0.055447027994085955, 'min_child_samples': 65, 'num_leaves': 61, 'reg_alpha': 0.9748302452710026, 'reg_lambda': 0.23383881520136884, 'subsample_for_bin': 40000, 'subsample': 1.0}",13,19,1.7773690000003626
0.24153661070107324,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.8048566844384929, 'learning_rate': 0.019199675385015214, 'min_child_samples': 225, 'num_leaves': 102, 'reg_alpha': 0.1916434813532829, 'reg_lambda': 0.6896940625642513, 'subsample_for_bin': 200000, 'subsample': 1.0}",14,53,1.8469246000004205
0.24187252592893205,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.71721668104041, 'learning_rate': 0.03565154266775181, 'min_child_samples': 225, 'num_leaves': 70, 'reg_alpha': 0.41007410794253185, 'reg_lambda': 0.45276116373350317, 'subsample_for_bin': 280000, 'subsample': 1.0}",15,19,2.789017199999762
0.2398287143291109,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.7596697891065423, 'learning_rate': 0.17232942613953312, 'min_child_samples': 485, 'num_leaves': 117, 'reg_alpha': 0.010598426894564361, 'reg_lambda': 0.7063665010867298, 'subsample_for_bin': 120000, 'subsample': 1.0}",16,4,1.1576756000004025
0.2543155930689174,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.9470180738948503, 'learning_rate': 0.011767912024933956, 'min_child_samples': 110, 'num_leaves': 114, 'reg_alpha': 0.3369787449812449, 'reg_lambda': 0.5773835691302064, 'subsample_for_bin': 40000, 'subsample': 1.0}",17,85,3.1439030999999886
0.2467951208159106,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.7706879189819607, 'learning_rate': 0.03598378193909862, 'min_child_samples': 135, 'num_leaves': 67, 'reg_alpha': 0.9645612747608906, 'reg_lambda': 0.9616204046171472, 'subsample_for_bin': 60000, 'subsample': 0.5253657477796922}",18,27,2.669847799999843
