class_weight,boosting_type,num_leaves,learning_rate,subsample_for_bin,min_child_samples,reg_alpha,reg_lambda,colsample_bytree,subsample,loss,iteration
balanced,gbdt,99,0.04600148599214018,140000,275,0.14285714285714285,0.9387755102040816,0.6444444444444444,0.7525252525252526,0.23238443808246956,63
,gbdt,137,0.008384610951889282,100000,260,0.3061224489795918,0.42857142857142855,0.6,0.9040404040404041,0.23368365598417795,9
,gbdt,52,0.07244734769700005,140000,275,0.8571428571428571,0.6938775510204082,0.8222222222222222,0.6919191919191919,0.23539402046998226,64
balanced,gbdt,65,0.007450161360297351,240000,270,0.673469387755102,0.5102040816326531,0.7333333333333333,0.6818181818181819,0.23616540164151434,51
,gbdt,60,0.04466245089743304,240000,215,0.8979591836734693,0.7551020408163265,0.6,0.595959595959596,0.23661353110613992,15
,gbdt,118,0.048981732603349946,280000,230,0.8979591836734693,0.836734693877551,0.8666666666666667,0.5,0.23743417531412947,3
balanced,gbdt,133,0.007673526341891829,120000,260,0.9183673469387754,0.32653061224489793,0.9555555555555555,0.8484848484848485,0.23778961903020057,18
balanced,gbdt,43,0.1764027825708195,40000,250,0.5102040816326531,0.7959183673469387,0.6,0.5252525252525253,0.23842439063323329,28
balanced,gbdt,59,0.011142047804941286,200000,250,0.22448979591836732,0.7551020408163265,0.8666666666666667,0.7424242424242424,0.2386342351162698,80
,gbdt,68,0.012726146225595376,20000,375,0.6326530612244897,0.22448979591836732,0.7333333333333333,0.5707070707070707,0.2390181217137839,21
,gbdt,137,0.19852841182328473,180000,265,0.04081632653061224,0.5306122448979591,0.7333333333333333,0.9595959595959596,0.23911801696752566,79
balanced,goss,103,0.045327024051143194,120000,440,0.3061224489795918,0.9591836734693877,0.6888888888888889,1.0,0.23936060222538424,49
balanced,gbdt,123,0.014589233132988022,220000,295,0.42857142857142855,0.6938775510204082,0.9555555555555555,0.5656565656565656,0.23946445616103906,57
balanced,gbdt,92,0.021899563889224465,260000,365,0.061224489795918366,0.673469387755102,0.7777777777777778,0.8181818181818182,0.23966419074068201,23
balanced,gbdt,72,0.012632507993991704,60000,175,0.673469387755102,0.44897959183673464,0.6,1.0,0.23966681023815328,36
,gbdt,136,0.050079054996995706,180000,200,0.8775510204081632,0.18367346938775508,0.6,0.9393939393939394,0.23974723783747476,95
balanced,goss,149,0.005168957689093439,140000,490,0.4897959183673469,0.3061224489795918,0.9555555555555555,1.0,0.2398387220485546,82
balanced,goss,46,0.013854191076355483,200000,150,0.6938775510204082,0.7551020408163265,0.6444444444444444,1.0,0.23986257940772227,5
balanced,gbdt,68,0.009127822372082045,140000,145,0.14285714285714285,0.8571428571428571,0.6444444444444444,0.5050505050505051,0.23994837187467088,13
balanced,gbdt,139,0.053126932824615544,260000,365,0.6326530612244897,0.5510204081632653,0.9555555555555555,0.8434343434343434,0.2400765984345139,6
,gbdt,149,0.02049130042208341,80000,215,0.36734693877551017,0.6122448979591836,0.8222222222222222,0.5858585858585859,0.24041163101171015,72
balanced,gbdt,42,0.1573228691158894,180000,275,0.9387755102040816,0.8775510204081632,0.8666666666666667,0.7121212121212122,0.24043282191644733,37
balanced,gbdt,136,0.048442121225583966,260000,255,0.16326530612244897,0.9387755102040816,0.9555555555555555,0.5909090909090909,0.24056715862795297,59
balanced,gbdt,104,0.04148291614861856,20000,480,0.18367346938775508,0.5510204081632653,0.9555555555555555,0.7777777777777778,0.24090651909491423,76
,gbdt,49,0.06930722759417562,120000,395,0.5510204081632653,0.4693877551020408,0.9555555555555555,0.5656565656565656,0.24093163027497655,97
balanced,gbdt,105,0.008384610951889282,20000,355,0.26530612244897955,0.5102040816326531,0.8666666666666667,0.6767676767676768,0.24095779006701368,32
balanced,gbdt,64,0.037270312367259056,120000,310,0.9591836734693877,0.6122448979591836,0.6,0.6616161616161617,0.24099378993514164,65
balanced,goss,73,0.016178380545832607,120000,215,0.6122448979591836,0.18367346938775508,0.6444444444444444,1.0,0.24114080502562263,33
,gbdt,83,0.11494244934547872,160000,350,0.32653061224489793,0.061224489795918366,0.6444444444444444,0.6565656565656566,0.24124208810280545,98
,goss,98,0.05293111954843996,60000,165,0.3469387755102041,0.1020408163265306,0.6888888888888889,1.0,0.24147992468047685,74
,gbdt,51,0.17253747952889908,260000,230,0.6530612244897959,0.24489795918367346,0.6,0.6464646464646464,0.24152904768707684,24
,gbdt,43,0.04466245089743304,180000,455,0.061224489795918366,0.12244897959183673,0.8222222222222222,0.797979797979798,0.24156166721482486,99
balanced,goss,76,0.055533968216953146,80000,460,0.6122448979591836,1.0,0.8222222222222222,1.0,0.24161090389931705,0
balanced,goss,123,0.036052057889639784,20000,470,0.0,0.061224489795918366,0.6444444444444444,1.0,0.2417896457746418,78
balanced,gbdt,85,0.029101646953115172,40000,335,0.7959183673469387,0.3877551020408163,0.7777777777777778,0.7222222222222222,0.24199829839193576,96
balanced,gbdt,74,0.05656880775755971,180000,325,0.22448979591836732,0.3469387755102041,0.8666666666666667,0.8181818181818182,0.24204413945751502,41
,goss,123,0.013401339215436023,180000,225,0.2857142857142857,0.061224489795918366,0.8666666666666667,1.0,0.24206842041050536,75
balanced,goss,127,0.005018496989847007,240000,200,0.7142857142857142,0.12244897959183673,0.6888888888888889,1.0,0.2420756081893385,22
,goss,130,0.007874457328332661,120000,335,0.2040816326530612,0.2040816326530612,0.6,1.0,0.2424974526900927,52
,gbdt,121,0.19133130417428806,60000,295,0.8775510204081632,0.5918367346938775,0.6,0.7272727272727273,0.24254148654350915,92
,gbdt,41,0.05741054640417811,180000,345,0.16326530612244897,0.6122448979591836,0.7777777777777778,0.8484848484848485,0.24268489688139638,81
,gbdt,36,0.008572448761425775,20000,215,0.8775510204081632,0.9591836734693877,0.8222222222222222,0.51010101010101,0.2427104390842928,14
,goss,110,0.175104821324965,240000,370,0.673469387755102,0.14285714285714285,0.6444444444444444,1.0,0.2431502993583241,30
