year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2014,1,1,1.0,96.0,235.0,70.0,AS,N508AS,145,PDX,ANC,194.0,1542,0.0,1.0
2014,1,1,4.0,-6.0,738.0,-23.0,US,N195UW,1830,SEA,CLT,252.0,2279,0.0,4.0
2014,1,1,8.0,13.0,548.0,-4.0,UA,N37422,1609,PDX,IAH,201.0,1825,0.0,8.0
2014,1,1,28.0,-2.0,800.0,-23.0,US,N547UW,466,PDX,CLT,251.0,2282,0.0,28.0
2014,1,1,34.0,44.0,325.0,43.0,AS,N762AS,121,SEA,ANC,201.0,1448,0.0,34.0
2014,1,1,37.0,82.0,747.0,88.0,DL,N806DN,1823,SEA,DTW,224.0,1927,0.0,37.0
2014,1,1,346.0,227.0,936.0,219.0,UA,N14219,1481,SEA,ORD,202.0,1721,3.0,46.0
2014,1,1,526.0,-4.0,1148.0,15.0,UA,N813UA,229,PDX,IAH,217.0,1825,5.0,26.0
2014,1,1,527.0,7.0,917.0,24.0,UA,N75433,1576,SEA,DEN,136.0,1024,5.0,27.0
2014,1,1,536.0,1.0,1334.0,-6.0,UA,N574UA,478,SEA,EWR,268.0,2402,5.0,36.0
2014,1,1,541.0,1.0,911.0,4.0,UA,N36476,1569,PDX,DEN,130.0,991,5.0,41.0
2014,1,1,549.0,24.0,907.0,12.0,US,N548UW,649,PDX,PHX,122.0,1009,5.0,49.0
2014,1,1,550.0,0.0,837.0,-12.0,DL,N660DL,1634,SEA,SLC,82.0,689,5.0,50.0
2014,1,1,557.0,-3.0,1134.0,-16.0,AA,N3JLAA,1094,SEA,DFW,184.0,1660,5.0,57.0
2014,1,1,557.0,-3.0,825.0,-25.0,AS,N562AS,81,SEA,ANC,188.0,1448,5.0,57.0
2014,1,1,558.0,-2.0,801.0,-2.0,AS,N402AS,200,SEA,SJC,100.0,697,5.0,58.0
2014,1,1,559.0,-1.0,916.0,-9.0,F9,N210FR,796,PDX,DEN,125.0,991,5.0,59.0
