loss,params,stats,iteration,train_time
0.8796296296296297,"{'actv': 'relu', 'batch_size': 56, 'drop_enabled': True, 'epochs': 100, 'loss': 'mae', 'lr': 0.025571040437167434, 'optimizer': 'adam', 'overcomplete': True, 'shuffle': False, 'drop_factor': 0.6, 'l1_reg': 1e-05, 'nl_o': 7, 'nnl_o': 11, 'nl_u': 4, 'nnl_u': 2}","{'precision_N': 0.9378678875081753, 'recall_N': 0.874390243902439, 'fscore_N': 0.9050173556326918, 'precision_A': 0.0593607305936073, 'recall_A': 0.12037037037037036, 'fscore_A': 0.07951070336391437, 'precision_W': 0.8835894132823324, 'recall_W': 0.8278032036613272, 'fscore_W': 0.8540135121286713, 'err_threshold': 0.7777771353721619, 'n_perc': 87}",1,69.5784199
1.0,"{'actv': 'relu', 'batch_size': 48, 'drop_enabled': True, 'epochs': 100, 'loss': 'mae', 'lr': 0.011619363697558198, 'optimizer': 'adam', 'overcomplete': True, 'shuffle': False, 'drop_factor': 0.4, 'l1_reg': 2e-05, 'nl_o': 6, 'nnl_o': 10, 'nl_u': 4, 'nnl_u': 2}","{'precision_N': 0.9371816638370118, 'recall_N': 1.0, 'fscore_N': 0.9675723049956179, 'precision_A': 0.0, 'recall_A': 0.0, 'fscore_A': 0.0, 'precision_W': 0.8783094710323098, 'recall_W': 0.9371816638370118, 'fscore_W': 0.906791022678406, 'err_threshold': 1.0, 'n_perc': 93}",2,58.8086277
0.7959183673469388,"{'actv': 'relu', 'batch_size': 64, 'drop_enabled': True, 'epochs': 100, 'loss': 'mae', 'lr': 0.01939400765474527, 'optimizer': 'adam', 'overcomplete': True, 'shuffle': True, 'drop_factor': 0.6, 'l1_reg': 2e-05, 'nl_o': 9, 'nnl_o': 15, 'nl_u': 4, 'nnl_u': 2}","{'precision_N': 0.946974847042828, 'recall_N': 0.8306499701848539, 'fscore_N': 0.8850063532401524, 'precision_A': 0.06578947368421052, 'recall_A': 0.20408163265306123, 'fscore_A': 0.09950248756218906, 'precision_W': 0.898323485584155, 'recall_W': 0.796056338028169, 'fscore_W': 0.8416376891069465, 'err_threshold': 0.75, 'n_perc': 75}",3,85.3430315
0.85,"{'actv': 'relu', 'batch_size': 40, 'drop_enabled': False, 'epochs': 100, 'loss': 'mae', 'lr': 0.11824193851427918, 'optimizer': 'adam', 'overcomplete': True, 'shuffle': True, 'drop_factor': 0.1, 'l1_reg': 2e-05, 'nl_o': 6, 'nnl_o': 6, 'nl_u': 4, 'nnl_u': 2}","{'precision_N': 0.9417409184372858, 'recall_N': 0.8388278388278388, 'fscore_N': 0.8873103002906039, 'precision_A': 0.053763440860215055, 'recall_A': 0.15, 'fscore_A': 0.07915567282321899, 'precision_W': 0.8906490037320459, 'recall_W': 0.7991944764096662, 'fscore_W': 0.8408111847861515, 'err_threshold': 0.75, 'n_perc': 83}",4,55.65393829999999
0.17924528301886788,"{'actv': 'relu', 'batch_size': 64, 'drop_enabled': False, 'epochs': 100, 'loss': 'mae', 'lr': 0.04429068605235681, 'optimizer': 'adam', 'overcomplete': False, 'shuffle': False, 'drop_factor': 0.1, 'nl_o': 3, 'nnl_o': 10, 'nl_u': 4, 'nnl_u': 9}","{'precision_N': 0.9757653061224489, 'recall_N': 0.4424522845575477, 'fscore_N': 0.6088340628730601, 'precision_A': 0.08277830637488107, 'recall_A': 0.8207547169811321, 'fscore_A': 0.15038893690579086, 'precision_W': 0.9241813159462952, 'recall_W': 0.4643051771117166, 'fscore_W': 0.582351674125087, 'err_threshold': 0.75, 'n_perc': 40}",5,32.657355300000006
0.021052631578947323,"{'actv': 'relu', 'batch_size': 56, 'drop_enabled': False, 'epochs': 100, 'loss': 'mae', 'lr': 0.03717271669748786, 'optimizer': 'adam', 'overcomplete': False, 'shuffle': True, 'drop_factor': 0.1, 'nl_o': 3, 'nnl_o': 10, 'nl_u': 3, 'nnl_u': 5}","{'precision_N': 0.9974293059125964, 'recall_N': 0.4700181708055724, 'fscore_N': 0.638946068340881, 'precision_A': 0.09607438016528926, 'recall_A': 0.9789473684210527, 'fscore_A': 0.17497648165569143, 'precision_W': 0.9483865121290946, 'recall_W': 0.497709049255441, 'fscore_W': 0.6137014459267384, 'err_threshold': 0.6006690769195556, 'n_perc': 47}",6,42.72593810000001
0.7171717171717171,"{'actv': 'relu', 'batch_size': 56, 'drop_enabled': True, 'epochs': 100, 'loss': 'mae', 'lr': 0.02666544637618878, 'optimizer': 'adam', 'overcomplete': False, 'shuffle': False, 'drop_factor': 0.7, 'nl_o': 3, 'nnl_o': 10, 'nl_u': 8, 'nnl_u': 5}","{'precision_N': 0.9501754385964912, 'recall_N': 0.8049940546967895, 'fscore_N': 0.8715803025426455, 'precision_A': 0.07865168539325842, 'recall_A': 0.2828282828282828, 'fscore_A': 0.12307692307692306, 'precision_W': 0.9017302664644755, 'recall_W': 0.7759685569904547, 'fscore_W': 0.8299734330496042, 'err_threshold': 0.7775497436523438, 'n_perc': 80}",7,43.92384920000001
0.7661290322580645,"{'actv': 'relu', 'batch_size': 8, 'drop_enabled': False, 'epochs': 100, 'loss': 'mae', 'lr': 0.026562719673864414, 'optimizer': 'adam', 'overcomplete': True, 'shuffle': False, 'drop_factor': 0.1, 'l1_reg': 2e-05, 'nl_o': 5, 'nnl_o': 13, 'nl_u': 4, 'nnl_u': 2}","{'precision_N': 0.91928632115548, 'recall_N': 0.6617737003058104, 'fscore_N': 0.7695590327169275, 'precision_A': 0.04982817869415808, 'recall_A': 0.23387096774193547, 'fscore_A': 0.0821529745042493, 'precision_W': 0.8579942178779338, 'recall_W': 0.6316088686753838, 'fscore_W': 0.7211006181527592, 'err_threshold': 0.8888888888888888, 'n_perc': 57}",8,182.46931239999992
0.7291666666666667,"{'actv': 'relu', 'batch_size': 64, 'drop_enabled': False, 'epochs': 100, 'loss': 'mae', 'lr': 0.1727225912355785, 'optimizer': 'adam', 'overcomplete': True, 'shuffle': False, 'drop_factor': 0.1, 'l1_reg': 2e-05, 'nl_o': 9, 'nnl_o': 9, 'nl_u': 4, 'nnl_u': 2}","{'precision_N': 0.9494584837545126, 'recall_N': 0.7822724568709102, 'fscore_N': 0.857795172863666, 'precision_A': 0.0663265306122449, 'recall_A': 0.2708333333333333, 'fscore_A': 0.10655737704918032, 'precision_W': 0.9017484851604453, 'recall_W': 0.7546426561620709, 'fscore_W': 0.8172105761286123, 'err_threshold': 0.75, 'n_perc': 60}",9,68.00265630000001
0.17307692307692313,"{'actv': 'relu', 'batch_size': 24, 'drop_enabled': True, 'epochs': 100, 'loss': 'mae', 'lr': 0.12161226199676824, 'optimizer': 'adam', 'overcomplete': True, 'shuffle': False, 'drop_factor': 0.1, 'l1_reg': 1e-05, 'nl_o': 8, 'nnl_o': 11, 'nl_u': 4, 'nnl_u': 2}","{'precision_N': 0.9773584905660377, 'recall_N': 0.4608540925266904, 'fscore_N': 0.626360338573156, 'precision_A': 0.0864321608040201, 'recall_A': 0.8269230769230769, 'fscore_A': 0.1565059144676979, 'precision_W': 0.9255951730826579, 'recall_W': 0.482122905027933, 'fscore_W': 0.5990615340441238, 'err_threshold': 0.6666666666666666, 'n_perc': 42}",10,108.63472259999992
